zip,lat,lng,city,state_id,state_name,county_name,timezone
1001,42.06258,-72.6259,Agawam,MA,Massachusetts,Hampden,America/New_York
1002,42.37492,-72.4621,Amherst,MA,Massachusetts,Hampshire,America/New_York
1003,42.39192,-72.52479,Amherst,MA,Massachusetts,Hampshire,America/New_York
1005,42.42018,-72.10615,Barre,MA,Massachusetts,Worcester,America/New_York
1007,42.27875,-72.40036,Belchertown,MA,Massachusetts,Hampshire,America/New_York
1008,42.18428,-72.95203,Blandford,MA,Massachusetts,Hampden,America/New_York
1009,42.20972,-72.33971,Bondsville,MA,Massachusetts,Hampden,America/New_York
1010,42.12863,-72.20624,Brimfield,MA,Massachusetts,Hampden,America/New_York
1011,42.29653,-72.95969,Chester,MA,Massachusetts,Hampden,America/New_York
1012,42.38698,-72.84632,Chesterfield,MA,Massachusetts,Hampshire,America/New_York
1013,42.1595,-72.60824,Chicopee,MA,Massachusetts,Hampden,America/New_York
1020,42.17637,-72.56537,Chicopee,MA,Massachusetts,Hampden,America/New_York
1022,42.19731,-72.54267,Chicopee,MA,Massachusetts,Hampden,America/New_York
1026,42.4633,-72.92024,Cummington,MA,Massachusetts,Hampshire,America/New_York
1027,42.29508,-72.74309,Easthampton,MA,Massachusetts,Hampshire,America/New_York
1028,42.05968,-72.49908,East Longmeadow,MA,Massachusetts,Hampden,America/New_York
1029,42.19632,-73.04836,East Otis,MA,Massachusetts,Berkshire,America/New_York
1030,42.06886,-72.67999,Feeding Hills,MA,Massachusetts,Hampden,America/New_York
1031,42.32933,-72.19822,Gilbertville,MA,Massachusetts,Worcester,America/New_York
1032,42.45029,-72.81301,Goshen,MA,Massachusetts,Hampshire,America/New_York
1033,42.26081,-72.50363,Granby,MA,Massachusetts,Hampshire,America/New_York
1034,42.08485,-72.95765,Granville,MA,Massachusetts,Hampden,America/New_York
1035,42.35564,-72.56921,Hadley,MA,Massachusetts,Hampshire,America/New_York
1036,42.06369,-72.4159,Hampden,MA,Massachusetts,Hampden,America/New_York
1037,42.37011,-72.19772,Hardwick,MA,Massachusetts,Worcester,America/New_York
1038,42.3855,-72.60699,Hatfield,MA,Massachusetts,Hampshire,America/New_York
1039,42.40629,-72.69362,Haydenville,MA,Massachusetts,Hampshire,America/New_York
1040,42.21256,-72.64107,Holyoke,MA,Massachusetts,Hampden,America/New_York
1050,42.28784,-72.86986,Huntington,MA,Massachusetts,Hampshire,America/New_York
1053,42.35348,-72.71161,Leeds,MA,Massachusetts,Hampshire,America/New_York
1054,42.47363,-72.48746,Leverett,MA,Massachusetts,Franklin,America/New_York
1056,42.19212,-72.45804,Ludlow,MA,Massachusetts,Hampden,America/New_York
1057,42.09164,-72.32431,Monson,MA,Massachusetts,Hampden,America/New_York
1060,42.32228,-72.63129,Northampton,MA,Massachusetts,Hampshire,America/New_York
1062,42.3219,-72.69279,Florence,MA,Massachusetts,Hampshire,America/New_York
1063,42.3191,-72.63896,Northampton,MA,Massachusetts,Hampshire,America/New_York
1066,42.40763,-72.65481,North Hatfield,MA,Massachusetts,Hampshire,America/New_York
1068,42.35002,-72.04606,Oakham,MA,Massachusetts,Worcester,America/New_York
1069,42.18807,-72.30555,Palmer,MA,Massachusetts,Hampden,America/New_York
1070,42.51853,-72.92391,Plainfield,MA,Massachusetts,Hampshire,America/New_York
1071,42.16035,-72.86,Russell,MA,Massachusetts,Hampden,America/New_York
1072,42.45737,-72.41841,Shutesbury,MA,Massachusetts,Franklin,America/New_York
1073,42.23083,-72.73857,Southampton,MA,Massachusetts,Hampshire,America/New_York
1074,42.38661,-72.09427,South Barre,MA,Massachusetts,Worcester,America/New_York
1075,42.25674,-72.57923,South Hadley,MA,Massachusetts,Hampshire,America/New_York
1077,42.05437,-72.77851,Southwick,MA,Massachusetts,Hampden,America/New_York
1079,42.19437,-72.33014,Thorndike,MA,Massachusetts,Hampden,America/New_York
1080,42.18206,-72.36564,Three Rivers,MA,Massachusetts,Hampden,America/New_York
1081,42.06234,-72.23094,Wales,MA,Massachusetts,Hampden,America/New_York
1082,42.2948,-72.27776,Ware,MA,Massachusetts,Hampshire,America/New_York
1083,42.20382,-72.19496,Warren,MA,Massachusetts,Worcester,America/New_York
1084,42.39038,-72.88089,West Chesterfield,MA,Massachusetts,Hampshire,America/New_York
1085,42.15371,-72.76958,Westfield,MA,Massachusetts,Hampden,America/New_York
1086,42.1304,-72.79397,Westfield,MA,Massachusetts,Hampden,America/New_York
1088,42.3901,-72.6478,West Hatfield,MA,Massachusetts,Hampshire,America/New_York
1089,42.12534,-72.65027,West Springfield,MA,Massachusetts,Hampden,America/New_York
1092,42.19972,-72.23727,West Warren,MA,Massachusetts,Worcester,America/New_York
1093,42.43439,-72.65304,Whately,MA,Massachusetts,Franklin,America/New_York
1094,42.35945,-72.13847,Wheelwright,MA,Massachusetts,Worcester,America/New_York
1095,42.12763,-72.42994,Wilbraham,MA,Massachusetts,Hampden,America/New_York
1096,42.4042,-72.76817,Williamsburg,MA,Massachusetts,Hampshire,America/New_York
1097,42.17603,-72.8313,Woronoco,MA,Massachusetts,Hampden,America/New_York
1098,42.3946,-72.94242,Worthington,MA,Massachusetts,Hampshire,America/New_York
1103,42.104,-72.59204,Springfield,MA,Massachusetts,Hampden,America/New_York
1104,42.13403,-72.56681,Springfield,MA,Massachusetts,Hampden,America/New_York
1105,42.09916,-72.57898,Springfield,MA,Massachusetts,Hampden,America/New_York
1106,42.04791,-72.57176,Longmeadow,MA,Massachusetts,Hampden,America/New_York
1107,42.12129,-72.6055,Springfield,MA,Massachusetts,Hampden,America/New_York
1108,42.08055,-72.55983,Springfield,MA,Massachusetts,Hampden,America/New_York
1109,42.11837,-72.54875,Springfield,MA,Massachusetts,Hampden,America/New_York
1118,42.09476,-72.52534,Springfield,MA,Massachusetts,Hampden,America/New_York
1119,42.12455,-72.51122,Springfield,MA,Massachusetts,Hampden,America/New_York
1128,42.09488,-72.48814,Springfield,MA,Massachusetts,Hampden,America/New_York
1129,42.12099,-72.48774,Springfield,MA,Massachusetts,Hampden,America/New_York
1151,42.15294,-72.50877,Indian Orchard,MA,Massachusetts,Hampden,America/New_York
1199,42.12065,-72.6045,Springfield,MA,Massachusetts,Hampden,America/New_York
1201,42.44993,-73.27644,Pittsfield,MA,Massachusetts,Berkshire,America/New_York
1220,42.62372,-73.11718,Adams,MA,Massachusetts,Berkshire,America/New_York
1222,42.05898,-73.32078,Ashley Falls,MA,Massachusetts,Berkshire,America/New_York
1223,42.31176,-73.0994,Becket,MA,Massachusetts,Berkshire,America/New_York
1224,42.50662,-73.19746,Berkshire,MA,Massachusetts,Berkshire,America/New_York
1225,42.56267,-73.15484,Cheshire,MA,Massachusetts,Berkshire,America/New_York
1226,42.48168,-73.13992,Dalton,MA,Massachusetts,Berkshire,America/New_York
1229,42.27799,-73.33204,Glendale,MA,Massachusetts,Berkshire,America/New_York
1230,42.18476,-73.34368,Great Barrington,MA,Massachusetts,Berkshire,America/New_York
1235,42.42975,-73.07241,Hinsdale,MA,Massachusetts,Berkshire,America/New_York
1236,42.26658,-73.3767,Housatonic,MA,Massachusetts,Berkshire,America/New_York
1237,42.54971,-73.26265,Lanesborough,MA,Massachusetts,Berkshire,America/New_York
1238,42.29522,-73.22879,Lee,MA,Massachusetts,Berkshire,America/New_York
1240,42.37208,-73.27646,Lenox,MA,Massachusetts,Berkshire,America/New_York
1242,42.33328,-73.24921,Lenox Dale,MA,Massachusetts,Berkshire,America/New_York
1243,42.35146,-73.02322,Middlefield,MA,Massachusetts,Hampshire,America/New_York
1244,42.11608,-73.26271,Mill River,MA,Massachusetts,Berkshire,America/New_York
1245,42.18818,-73.21891,Monterey,MA,Massachusetts,Berkshire,America/New_York
1247,42.69546,-73.07996,North Adams,MA,Massachusetts,Berkshire,America/New_York
1253,42.21187,-73.11616,Otis,MA,Massachusetts,Berkshire,America/New_York
1254,42.37982,-73.36545,Richmond,MA,Massachusetts,Berkshire,America/New_York
1255,42.10834,-73.1229,Sandisfield,MA,Massachusetts,Berkshire,America/New_York
1256,42.59627,-73.01957,Savoy,MA,Massachusetts,Berkshire,America/New_York
1257,42.09701,-73.36886,Sheffield,MA,Massachusetts,Berkshire,America/New_York
