PROPERTY ID (T/WCAD),Food_Permit_Number,Food_Permit_Area,Name,Street,PERMIT SUBTYPE,SERVICE TYPE,Food_Permit_Year,Location 1,STREET NUMBER,Street Name,STREET DIRECTION,STREET SUFFIX,SUITE,OWNER NAME,OWNER MAILING ADDRESS,OWNER MAILING CITY,OWNER MAILING STATE,OWNER MAILING ZIP,FIXED FOOD TYPE
476907,2006007357 FP,0,Bill Miller BBQ,"8700 E Us 290 Hwy Wb
Austin, Tx 78754
",Food Service,Seated,10/01/2018,"8700 E US 290 HWY WB
AUSTIN, TX 78754
",8700,"US 290 HWY
",E ,WB,,ANGELA RIHN,PO BOX 839925,SAN ANTONIO,TX,78283,General Food Service
R379572,2006006233 FP,0,Comfort Suites,"13681 N Us 183 Hwy
Austin, Tx 78729
",Food Service,Seated,10/01/2018,"13681 N US 183 HWY
AUSTIN, TX 78729
",13681,"US 183
",N ,HWY,,"ANAND & ALISHA, L.P.",13681 N. US HWY 183,AUSTIN,TX,78750,Restaurant
"R431840, R511407",2014005876 FP,0,Ashley's Playhouse,"13343 N Us 183 Hwy Unit 200
Austin, Tx 78729
",Food Service,Seated,10/01/2018,"13343 N US 183 HWY Unit 200
AUSTIN, TX 78729
",13343,"US 183
",N ,HWY,Unit 200,"ASHLEY'S PLAYHOUSE,LLC",13343 N. US HWY 183 STE #200,AUSTIN,TEXAS,78750,Child Care
"R055146, R330363, R330364, R330365, R363985",2006005720 FP,0,China Cafe,"13729 N Us 183 Hwy Nb Unit 695
Austin, Tx 78729
",Food Service,Seated,10/01/2018,"13729 N US 183 HWY NB Unit 695
AUSTIN, TX 78729
",13729,"US 183 HWY
",N ,NB,Unit 695,BING YU,13729 RESEARCH BLVD STE #695,AUSTIN,TX,78750,Restaurant
R381846,2013026045 FP,0,Marble Slab Creamery,"14010 N Us 183 Hwy Svrd Unit 510
Austin, Tx 78613
",Food Service,,10/01/2018,"14010 N US 183 HWY SVRD Unit 510
AUSTIN, TX 78613
",14010,"US 183 HWY
",N ,SVRD,Unit 510,"CENTRAL TEXAS TREATS,INC",14403 TERISU LN.,AUSTIN,TX,78728,General Food Service
513049,2011081987 FP,0,Reel Popcorn,"8708 S Congress Ave Bunit 550
Austin, Tx 78748
",Food Service,,10/01/2018,"8708 S CONGRESS AVE Bunit 550
AUSTIN, TX 78748
",8708,"CONGRESS
",S ,AVE,Bunit 550,SHARON EASLEY,"8708 S CONGRESS AVE., STE 550",AUSTIN,TEXAS,78745,General Food Service
509427,2006007019 FP,0,Sam's Club/Meat & Produce #4720,"4970 W Us 290 Hwy Wb
Austin, Tx 78735
",Food Service,Carryout,10/01/2018,"4970 W US 290 HWY WB
AUSTIN, TX 78735
",4970,"US 290 HWY
",W ,WB,,"WAL-MART STORES TEXAS, LLC/ATTN: AMY IGO",3345 BEE CAVE RD STE# 105,AUSTIN,TX,78746,Other
119444,2014054918 FP,0,Patricia's Table,"1510 W 35Th St Ctof
Austin 78731
",Food Service,,10/01/2018,"1510 W 35TH ST CTOF
AUSTIN 78731
",1510,"35TH ST
",W ,CTOF,,PATRICIA TAMMINGA,1510 WEST 35TH ST CUTOFF,AUSTIN,TEXAS,78731,Other
745446,2007109162 FP,0,"Spec's Wines, Spirits & Finer Foods, #62","10515 N Mopac Expy Nb Bldg K
Austin, Tx 78758
",Retail Food,,10/01/2018,"10515 N MOPAC EXPY NB Bldg K
AUSTIN, TX 78758
",10515,"MOPAC EXPY
",N ,NB,Bldg K,"SPEC'S FAMILY PARTNERS, LTD.",2410 SMITH ST.,HOUSTON,TEXAS,77006,Other
R322519,2013104503 FP,0,Star Stop 78,"13775 N Us 183 Hwy
Austin, Tx 78729
",Retail Food,,10/01/2018,"13775 N US 183 HWY
AUSTIN, TX 78729
",13775,"US 183
",N ,HWY,,"PANJWANI ENERGY, LLC / ATTN: SHAMSUDDIN PANJWANI",13775 RESEARCH BLVD,AUSTIN,TEXAS,78750,Convenience Store
